CVE_ESTADO,NOM_ESTADO,CVE_DIAGNO,DES_DIAGNO,CVE_CIE10,ACUMULADO,MENORES_1,DE01_A_04,DE05_A_09,DE10_A_14,DE15_A_19,DE20_A_24,DE25_A_44,DE45_A_49,DE50_A_59,DE60_A_64,DE65_Y_MAS,SE_IGNORAN,SSA,IMSS_ORD,ISSSTE,OTRAS,IMSS_SOL,D_IF,PEMEX,SEDENA,SEDEMAR,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,PERIODO,MENORES_1F,DE01_A_04F,DE05_A_09F,DE10_A_14F,DE15_A_19F,DE20_A_24F,DE25_A_44F,DE45_A_49F,DE50_A_59F,DE60_A_64F,DE65_Y_MAF,SE_IGNORAF,TOTALM,TOTALF,SSAM,IMSS_ORDM,ISSSTEM,OTRASM,IMSS_SOLM,D_IFM,PEMEXM,SEDENAM,SEDEMARM,SSAF,IMSS_ORDF,ISSSTEF,OTRASF,IMSS_SOLF,D_IFF,PEMEXF,SEDENAF,SEDEMARF,ENEROM,FEBREROM,MARZOM,ABRILM,MAYOM,JUNIOM,JULIOM,AGOSTOM,SEPTIEMBRM,OCTUBREM,NOVIEMBREM,DICIEMBREM,ENEROF,FEBREROF,MARZOF,ABRILF,MAYOF,JUNIOF,JULIOF,AGOSTOF,SEPTIEMBRF,OCTUBREF,NOVIEMBREF,DICIEMBREF
10,DURANGO,1,Cólera,A00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,DURANGO,2,Amebiasis intestinal,"A06.0-A06.3, A06.9",1666,37,151,119,98,53,63,123,45,48,26,33,0,791,215,331,311,12,0,0,6,0,99,138,144,109,161,158,113,213,144,197,126,64,2017,34,139,118,88,49,81,169,63,65,29,35,0,796,870,377,98,146,168,5,0,0,2,0,414,117,185,143,7,0,0,4,0,48,62,67,51,80,77,54,106,66,98,53,34,51,76,77,58,81,81,59,107,78,99,73,30
10,DURANGO,5,Shigelosis,A03,32,0,1,2,2,2,1,3,1,1,0,1,0,16,0,5,11,0,0,0,0,0,4,2,1,10,8,0,1,5,0,0,0,1,2017,0,6,2,2,2,0,5,0,1,0,0,0,14,18,7,0,1,6,0,0,0,0,0,9,0,4,5,0,0,0,0,0,0,1,1,5,5,0,0,1,0,0,0,1,4,1,0,5,3,0,1,4,0,0,0,0
10,DURANGO,6,Fiebre tifoidea,A01.0,38,0,0,0,0,0,1,2,1,0,0,2,0,12,7,19,0,0,0,0,0,0,1,4,6,1,10,7,3,1,1,3,1,0,2017,0,0,4,1,0,1,16,2,4,0,4,0,6,32,1,2,3,0,0,0,0,0,0,11,5,16,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,1,3,4,1,8,6,3,1,1,3,1,0
10,DURANGO,7,Giardiasis,A07.1,43,1,4,4,3,3,2,4,0,0,0,2,0,22,1,7,8,0,0,0,5,0,11,0,6,2,3,2,2,9,2,1,0,5,2017,0,2,4,3,0,4,6,0,1,0,0,0,23,20,11,1,5,4,0,0,0,2,0,11,0,2,4,0,0,0,3,0,6,0,3,0,2,1,1,6,1,1,0,2,5,0,3,2,1,1,1,3,1,0,0,3
10,DURANGO,8,Infecciones intestinales por otros organismos y las mal definidas,"A04, A08-A09 excepto A08.0",80995,2922,8173,4727,3080,2132,2600,5806,1850,2410,1243,1909,0,27713,26869,8621,3538,11180,3015,0,59,0,4753,4334,6172,6854,11076,7415,6709,9677,6906,6625,6754,3720,2017,2781,7508,4709,2916,2664,3229,9103,2958,3860,1648,2767,0,36852,44143,12269,12335,3784,1638,5262,1527,0,37,0,15444,14534,4837,1900,5918,1488,0,22,0,2160,2002,2732,3220,5016,3370,3027,4380,3177,2975,3050,1743,2593,2332,3440,3634,6060,4045,3682,5297,3729,3650,3704,1977
10,DURANGO,178,Fiebre paratifoidea,A01.1-A01.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,DURANGO,93,Otras infecciones intestinales debidas a protozoarios,"A07.0, A07.2, A07.9",314,2,25,24,16,12,16,19,5,3,1,1,0,242,0,8,63,1,0,0,0,0,13,14,26,15,34,42,23,18,5,31,66,27,2017,11,41,28,17,14,25,34,9,8,1,2,0,124,190,91,0,3,30,0,0,0,0,0,151,0,5,33,1,0,0,0,0,6,6,9,8,13,14,9,5,2,11,32,9,7,8,17,7,21,28,14,13,3,20,34,18
11,GUANAJUATO,1,Cólera,A00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,GUANAJUATO,2,Amebiasis intestinal,"A06.0-A06.3, A06.9",3109,46,177,195,150,93,105,270,83,98,63,73,0,1194,720,567,595,10,0,6,17,0,217,247,320,296,317,317,278,353,237,210,206,111,2017,32,174,238,177,103,142,392,124,163,96,115,0,1353,1756,492,318,260,266,6,0,2,9,0,702,402,307,329,4,0,4,8,0,102,111,144,123,134,145,124,147,104,89,82,48,115,136,176,173,183,172,154,206,133,121,124,63
